title,genres,rating,imdbId
Sudden Death (1995),Action,3 ,114576
Fair Game (1995),Action,2 ,113010
Under Siege 2: Dark Territory (1995),Action,3 ,114781
"Hunted, The (1995)",Action,3 ,113360
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action,3 ,112536
Double Team (1997),Action,4 ,119013
Steel (1997),Action,4 ,120207
Knock Off (1998),Action,4 ,120724
Avalanche (1978),Action,3 ,77189
Aces: Iron Eagle III (1992),Action,2 ,103617
"Omega Code, The (1999)",Action,4 ,203408
Minnie and Moskowitz (1971),Action,4 ,67433
Thunderbolt and Lightfoot (1974),Action,3 ,72288
Kiss of the Dragon (2001),Action,4 ,271027
Best of the Best (1989),Action,4 ,96913
Kickboxer (1989),Action,2 ,97659
No Holds Barred (1989),Action,3 ,97987
"Punisher, The (1989)",Action,3 ,98141
"Last Castle, The (2001)",Action,4 ,272020
"Gauntlet, The (1977)",Action,1 ,76070
"Big Bird Cage, The (1972)",Action,4 ,68273
"Big Doll House, The (1971)",Action,4 ,66830
"Octagon, The (1980)",Action,2 ,81259
Rapid Fire (1992),Action,4 ,105219
Attila (Attila Flagello di Dio) (1982),Action,1 ,80393
Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982),Action,4 ,84266
Live Wire (1992),Action,4 ,104743
Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba) (1993),Action,4 ,108592
Only the Strong (1993),Action,3 ,107750
Raw Deal (1986),Action,4 ,91828
Walking Tall (2004),Action,4 ,351977
"Delta Force, The (1986)",Action,3 ,90927
Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),Action,2 ,72913
Five Deadly Venoms (1978),Action,4 ,77559
"Tournament, The (2009)",Action,4 ,471041
"Peacekeeper, The (1997)",Action,4 ,119872
Five Element Ninjas (1982),Action,4 ,84921
Father of the Bride Part II (1995),Comedy,3 ,113041
Four Rooms (1995),Comedy,4 ,113101
Ace Ventura: When Nature Calls (1995),Comedy,3 ,112281
Friday (1995),Comedy,4 ,113118
Black Sheep (1996),Comedy,4 ,115697
Happy Gilmore (1996),Comedy,3 ,116483
"Steal Big, Steal Little (1995)",Comedy,3 ,114536
"Birdcage, The (1996)",Comedy,3 ,115685
"Brothers McMullen, The (1995)",Comedy,3 ,112585
Jury Duty (1995),Comedy,3 ,113500
Living in Oblivion (1995),Comedy,2 ,113677
Party Girl (1995),Comedy,3 ,114095
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,3 ,114682
Billy Madison (1995),Comedy,3 ,112508
Clerks (1994),Comedy,2 ,109445
Destiny Turns on the Radio (1995),Comedy,3 ,112854
Exit to Eden (1994),Comedy,3 ,109758
Houseguest (1994),Comedy,4 ,110066
"Jerky Boys, The (1995)",Comedy,3 ,110189
Major Payne (1995),Comedy,3 ,110443
Man of the House (1995),Comedy,3 ,113755
Mixed Nuts (1994),Comedy,4 ,110538
Miami Rhapsody (1995),Comedy,4 ,113808
Ready to Wear (Pret-A-Porter) (1994),Comedy,3 ,110907
Rent-a-Kid (1995),Comedy,3 ,114268
Stuart Saves His Family (1995),Comedy,4 ,114571
National Lampoon's Senior Trip (1995),Comedy,5 ,113936
Tommy Boy (1995),Comedy,3 ,114694
Muriel's Wedding (1994),Comedy,4 ,110598
Ace Ventura: Pet Detective (1994),Comedy,3 ,109040
Bullets Over Broadway (1994),Comedy,4 ,109348
Airheads (1994),Comedy,3 ,109068
"Air Up There, The (1994)",Comedy,3 ,109067
"Beverly Hillbillies, The (1993)",Comedy,4 ,106400
Cabin Boy (1994),Comedy,2 ,109361
Clean Slate (1994),Comedy,3 ,109443
Cops and Robbersons (1994),Comedy,3 ,109480
Dazed and Confused (1993),Comedy,4 ,106677
Fatal Instinct (1993),Comedy,3 ,106873
Fear of a Black Hat (1994),Comedy,5 ,106880
Live Nude Girls (1995),Comedy,3 ,113674
House Party 3 (1994),Comedy,2 ,110064
"Hudsucker Proxy, The (1994)",Comedy,3 ,110074
Life with Mikey (1993),Comedy,2 ,107413
Made in America (1993),Comedy,3 ,107478
North (1994),Comedy,4 ,110687
"Ref, The (1994)",Comedy,3 ,110955
"Road to Wellville, The (1994)",Comedy,4 ,111001
Robin Hood: Men in Tights (1993),Comedy,4 ,107977
Chasers (1994),Comedy,4 ,109403
"Brady Bunch Movie, The (1995)",Comedy,3 ,112572
Ed (1996),Comedy,3 ,116165
"Thin Line Between Love and Hate, A (1996)",Comedy,3 ,117891
Denise Calls Up (1995),Comedy,3 ,112844
Theodore Rex (1995),Comedy,4 ,114658
Sgt. Bilko (1996),Comedy,4 ,117608
Eddie (1996),Comedy,4 ,116168
Angus (1995),Comedy,4 ,112368
Celtic Pride (1996),Comedy,3 ,115851
Multiplicity (1996),Comedy,3 ,117108
"Great White Hype, The (1996)",Comedy,4 ,116448
Spy Hard (1996),Comedy,4 ,117723
Larger Than Life (1996),Comedy,3 ,116823
"Very Brady Sequel, A (1996)",Comedy,3 ,118073
"First Wives Club, The (1996)",Comedy,4 ,116313
High School High (1996),Comedy,3 ,116531
Gone Fishin' (1997),Comedy,4 ,119214
My Favorite Year (1982),Comedy,3 ,84370
"Women, The (1939)",Comedy,3 ,32143
Cool Runnings (1993),Comedy,4 ,106611
Dear God (1996),Comedy,5 ,116059
Hear My Song (1991),Comedy,3 ,102014
Cheech and Chong's Up in Smoke (1978),Comedy,4 ,78446
Withnail & I (1987),Comedy,4 ,94336
This Is Spinal Tap (1984),Comedy,3 ,88258
Real Genius (1985),Comedy,3 ,89886
Mother (1996),Comedy,4 ,117091
Fierce Creatures (1997),Comedy,4 ,119115
Meet Wally Sparks (1997),Comedy,2 ,119644
Waiting for Guffman (1996),Comedy,3 ,118111
"Pest, The (1997)",Comedy,4 ,119887
Liar Liar (1997),Comedy,4 ,119528
B*A*P*S (1997),Comedy,5 ,118663
Romy and Michele's High School Reunion (1997),Comedy,5 ,120032
Schizopolis (1996),Comedy,4 ,117561
Out to Sea (1997),Comedy,4 ,119848
Love Serenade (1996),Comedy,4 ,116930
"Kiss Me, Guido (1997)",Comedy,4 ,119465
In & Out (1997),Comedy,3 ,119360
Bean (1997),Comedy,4 ,118689
Chairman of the Board (1998),Comedy,4 ,118836
For Richer or Poorer (1997),Comedy,4 ,119142
Mr. Magoo (1997),Comedy,4 ,119718
Senseless (1998),Comedy,4 ,120820
Wag the Dog (1997),Comedy,4 ,120885
Welcome to Woop-Woop (1997),Comedy,3 ,120491
"Odd Couple II, The (1998)",Comedy,2 ,120773
My Giant (1998),Comedy,3 ,120765
Krippendorf's Tribe (1998),Comedy,3 ,120725
"Real Blonde, The (1997)",Comedy,4 ,119987
Major League: Back to the Minors (1998),Comedy,4 ,120742
Clockwatchers (1997),Comedy,3 ,118866
Dr. Dolittle (1998),Comedy,4 ,118998
Polish Wedding (1998),Comedy,3 ,119910
BASEketball (1998),Comedy,3 ,131857
"Jerk, The (1979)",Comedy,3 ,79367
"Man with Two Brains, The (1983)",Comedy,1 ,85894
Gang Related (1997),Crime,4 ,118900
Clay Pigeons (1998),Crime,4 ,118863
"General, The (1998)",Crime,2 ,120706
"Mack, The (1973)",Crime,4 ,70350
"Art of the Steal, The (2013)",Crime,4 ,2172985
Year of the Horse (1997),Documentary,4 ,120539
"Cruise, The (1998)",Documentary,3 ,150230
Dancemaker (1998),Documentary,3 ,175550
Trekkies (1997),Documentary,4 ,120370
"Source, The (1999)",Documentary,4 ,181833
Return with Honor (1998),Documentary,4 ,176093
On Any Sunday (1971),Documentary,4 ,67527
My Best Fiend (Mein liebster Feind) (1999),Documentary,3 ,200849
American Movie (1999),Documentary,3 ,181288
42 Up (1998),Documentary,4 ,164312
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",Documentary,3 ,192335
Black Tar Heroin: The Dark End of the Street (2000),Documentary,4 ,221023
Beyond the Mat (1999),Documentary,4 ,218043
For All Mankind (1989),Documentary,2 ,97372
Regret to Inform (1998),Documentary,3 ,181786
"Endless Summer, The (1966)",Documentary,3 ,60371
Baraka (1992),Documentary,1 ,103767
"Decline of Western Civilization Part II: The Metal Years, The (1988)",Documentary,3 ,94980
"Eyes of Tammy Faye, The (2000)",Documentary,2 ,233687
One Day in September (1999),Documentary,3 ,230591
Long Night's Journey Into Day (2000),Documentary,3 ,236447
4 Little Girls (1997),Documentary,4 ,118540
Keep the River on Your Right: A Modern Cannibal Tale (2000),Documentary,3 ,206187
Triumph of the Will (Triumph des Willens) (1934),Documentary,3 ,25913
Theremin: An Electronic Odyssey (1993),Documentary,3 ,108323
Into the Arms of Strangers: Stories of the Kindertransport (2000),Documentary,3 ,248912
"Endurance: Shackleton's Legendary Antarctic Expedition, The (2000)",Documentary,3 ,264578
Little Dieter Needs to Fly (1997),Documentary,5 ,145046
Scratch (2001),Documentary,4 ,143861
Promises (2001),Documentary,4 ,282864
Dogtown and Z-Boyz (2001),Documentary,3 ,275309
"Last Waltz, The (1978)",Documentary,2 ,77838
"Trials of Henry Kissinger, The (2002)",Documentary,3 ,326306
Powaqqatsi (1988),Documentary,3 ,95895
Naqoyqatsi (2002),Documentary,4 ,145937
Burden of Dreams (1982),Documentary,4 ,83702
Sunless (Sans Soleil) (1983),Documentary,3 ,84628
Stevie (2002),Documentary,4 ,334416
"Winged Migration (Peuple migrateur, Le) (2001)",Documentary,4 ,301727
Spellbound (2002),Documentary,3 ,334405
Cinemania (2002),Documentary,3 ,281724
Gigantic (A Tale of Two Johns) (2002),Documentary,3 ,304081
Murder on a Sunday Morning (Un coupable idéal) (2001),Documentary,3 ,307197
"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",Documentary,4 ,19760
Man of Aran (1934),Documentary,4 ,25456
Step Into Liquid (2002),Documentary,2 ,308508
Brother's Keeper (1992),Documentary,2 ,103888
Waco: The Rules of Engagement (1997),Documentary,3 ,120472
Stoked: The Rise and Fall of Gator (2002),Documentary,3 ,271211
To Be and to Have (Être et avoir) (2002),Documentary,2 ,318202
"Brief History of Time, A (1991)",Documentary,3 ,103882
"Revolution Will Not Be Televised, The (a.k.a. Chavez: Inside the Coup) (2003)",Documentary,4 ,363510
Billabong Odyssey (2003),Documentary,3 ,379713
OT: Our Town (2002),Documentary,3 ,334029
Devil's Playground (2002),Documentary,3 ,293088
Journeys with George (2002),Documentary,3 ,312848
Rivers and Tides (2001),Documentary,3 ,307385
Grass (1999),Documentary,1 ,214730
My Flesh and Blood (2003),Documentary,3 ,342804
Aileen: Life and Death of a Serial Killer (2003),Documentary,3 ,364930
This So-Called Disaster (2003),Documentary,3 ,308488
28 Up (1985),Documentary,4 ,88650
Mayor of the Sunset Strip (2003),Documentary,4 ,230512
Fahrenheit 9/11 (2004),Documentary,3 ,361596
Unprecedented: The 2000 Presidential Election (2002),Documentary,4 ,346091
My Voyage to Italy (Il mio viaggio in Italia) (1999),Documentary,3 ,173772
Guerrilla: The Taking of Patty Hearst (2004),Documentary,3 ,390299
Harlan County U.S.A. (1976),Documentary,5 ,74605
Hearts of Darkness: A Filmmakers Apocalypse (1991),Documentary,3 ,102015
Visions of Light: The Art of Cinematography (1992),Documentary,4 ,105764
Paradise Lost 2: Revelations (2000),Documentary,3 ,239894
"Corporation, The (2003)",Documentary,3 ,379225
"League of Ordinary Gentlemen, A (2004)",Documentary,2 ,430289
"Wild Parrots of Telegraph Hill, The (2003)",Documentary,5 ,424565
Enron: The Smartest Guys in the Room (2005),Documentary,4 ,413845
Rize (2005),Documentary,2 ,436724
Murderball (2005),Documentary,5 ,436613
Why We Fight (2005),Documentary,4 ,436971
Darwin's Nightmare (2004),Documentary,5 ,424024
No Direction Home: Bob Dylan (2005),Documentary,4 ,367555
"Boys of Baraka, The (2005)",Documentary,4 ,444608
"Devil and Daniel Johnston, The (2005)",Documentary,3 ,436231
Who Killed the Electric Car? (2006),Documentary,4 ,489037
Metal: A Headbanger's Journey (2005),Documentary,4 ,478209
"Bridge, The (2006)",Documentary,4 ,799954
Deliver Us from Evil (2006),Documentary,4 ,814075
"U.S. vs. John Lennon, The (2006)",Documentary,3 ,478049
When the Levees Broke: A Requiem in Four Acts (2006),Documentary,1 ,783612
Seven Up! (1964),Documentary,4 ,58578
Cocaine Cowboys (2006),Documentary,3 ,380268
"Power of Nightmares, The: The Rise of the Politics of Fear (2004)",Documentary,1 ,430484
Manufactured Landscapes (2006),Documentary,3 ,832903
China Blue (2005),Documentary,4 ,478116
"King of Kong, The (2007)",Documentary,4 ,923752
No End in Sight (2007),Documentary,2 ,912593
"Unreasonable Man, An (2006)",Documentary,4 ,492499
Taxi to the Dark Side (2007),Documentary,3 ,854678
Heima (2007),Documentary,4 ,1094594
Man on Wire (2008),Documentary,2 ,1155592
Tokyo-Ga (1985),Documentary,3 ,90182
"11th Hour, The (2007)",Documentary,3 ,492931
Earth (2007),Documentary,5 ,393597
Stanley Kubrick: A Life in Pictures (2001),Documentary,4 ,278736
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008),Documentary,4 ,1278293
"Most Hated Family in America, The (2007)",Documentary,3 ,1000764
Steam of Life (Miesten vuoro) (2010),Documentary,3 ,1583323
Empire of Dreams: The Story of the 'Star Wars' Trilogy (2004),Documentary,4 ,416716
When You're Strange (2009),Documentary,4 ,1333667
Waiting for 'Superman' (2010),Documentary,4 ,1566648
Into the Abyss (2011),Documentary,4 ,1972663
Being Elmo: A Puppeteer's Journey (2011),Documentary,4 ,1787660
All Watched Over by Machines of Loving Grace (2011),Documentary,4 ,1955162
Walking with Monsters (2005),Documentary,2 ,490048
20 Feet from Stardom (Twenty Feet from Stardom) (2013),Documentary,4 ,2396566
Blackfish (2013),Documentary,4 ,2545118
GLOW: The Story of the Gorgeous Ladies of Wrestling (2012),Documentary,4 ,1559038
"Internet's Own Boy: The Story of Aaron Swartz, The (2014)",Documentary,4 ,3268458
Citizenfour (2014),Documentary,4 ,4044364
Good Copy Bad Copy (2007),Documentary,3 ,1782451
Red Army (2014),Documentary,1 ,3264102
Kurt Cobain: Montage of Heck (2015),Documentary,5 ,4229236
The Natural Love (1996),Documentary,3 ,137355
The Forgotten Space (2010),Documentary,4 ,1772382
Bruce Lee: A Warrior's Journey (2000),Documentary,4 ,297814
Amy (2015),Documentary,4 ,2870648
Nixon (1995),Drama,4 ,113987
Othello (1995),Drama,4 ,114057
Dangerous Minds (1995),Drama,3 ,112792
Restoration (1995),Drama,4 ,114272
Home for the Holidays (1995),Drama,3 ,113321
"Boys of St. Vincent, The (1992)",Drama,4 ,106473
"Basketball Diaries, The (1995)",Drama,4 ,112461
"Awfully Big Adventure, An (1995)",Drama,3 ,112427
Beauty of the Day (Belle de jour) (1967),Drama,3 ,61395
Kids (1995),Drama,5 ,113540
Nadja (1994),Drama,3 ,110620
Showgirls (1995),Drama,3 ,114436
White Man's Burden (1995),Drama,1 ,114928
"Browning Version, The (1994)",Drama,3 ,109340
"Cure, The (1995)",Drama,3 ,112757
Jefferson in Paris (1995),Drama,3 ,113463
Ladybird Ladybird (1994),Drama,2 ,110296
My Crazy Life (Mi vida loca) (1993),Drama,4 ,107566
Losing Isaiah (1995),Drama,3 ,113691
Miracle on 34th Street (1994),Drama,2 ,110527
My Family (1995),Drama,4 ,113896
Pushing Hands (Tui shou) (1992),Drama,3 ,105652
Priest (1994),Drama,4 ,110889
Quiz Show (1994),Drama,4 ,110932
Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,3 ,111495
Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,4 ,106966
To Live (Huozhe) (1994),Drama,4 ,110081
Tom & Viv (1994),Drama,4 ,111454
Vanya on 42nd Street (1994),Drama,4 ,111590
What's Eating Gilbert Grape (1993),Drama,4 ,108550
Double Happiness (1994),Drama,4 ,109655
Cobb (1994),Drama,3 ,109450
Higher Learning (1995),Drama,3 ,113305
Little Buddha (1993),Drama,4 ,107426
Mrs. Parker and the Vicious Circle (1994),Drama,3 ,110588
"Man of No Importance, A (1994)",Drama,3 ,110455
S.F.W. (1994),Drama,3 ,111048
Boys Life (1995),Drama,4 ,112570
Federal Hill (1994),Drama,3 ,109785
8 Seconds (1994),Drama,3 ,109021
"Age of Innocence, The (1993)",Drama,4 ,106226
Being Human (1993),Drama,4 ,106379
Blue Chips (1994),Drama,4 ,109305
"Bronx Tale, A (1993)",Drama,4 ,106489
Fearless (1993),Drama,4 ,106881
In the Name of the Father (1993),Drama,2 ,107207
"Man Without a Face, The (1993)",Drama,2 ,107501
In the Realm of the Senses (Ai no corrida) (1976),Drama,3 ,74102
Naked (1993),Drama,3 ,107653
Philadelphia (1993),Drama,2 ,107818
Poetic Justice (1993),Drama,4 ,107840
Ruby in Paradise (1993),Drama,2 ,108000
Rudy (1993),Drama,3 ,108002
"Savage Nights (Nuits fauves, Les) (1992)",Drama,3 ,105032
Searching for Bobby Fischer (1993),Drama,3 ,108065
Short Cuts (1993),Drama,3 ,108122
"Simple Twist of Fate, A (1994)",Drama,1 ,111194
Sirens (1994),Drama,4 ,111201
Six Degrees of Separation (1993),Drama,3 ,108149
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama,5 ,107225
Princess Caraboo (1994),Drama,4 ,110892
Frisk (1995),Drama,3 ,113122
Moll Flanders (1996),Drama,5 ,117071
"World of Apu, The (Apur Sansar) (1959)",Drama,3 ,52572
"Run of the Country, The (1995)",Drama,4 ,114307
Boys (1996),Drama,3 ,115742
Last Dance (1996),Drama,4 ,116827
I Shot Andy Warhol (1996),Drama,2 ,116594
Touki Bouki (1973),Drama,3 ,70820
